,difficulty,titles,sci_info,eng_lang,syl_per_word,ws_per_sents,not_easy_words,avg_wd_length,polysyls,monosyls,modals_per_sent,adj,verb,adp,adv,sconj,cconj,aux,det,avg_verb_length,avg_adj_length,avg_adv_length,flesch_score,ari_score,dale_score,smog,gunning_fog,cli,linsear_raw,linsear
98,5,b108_AMCandideOrTheOptimist.txt,0,1,1.419607843,24.41935484,0.19815059399999999,4.693527081,0.100396301,0.722875817,0.193548387,1.935483871,2.967741935,2.7096774189999997,1.4838709680000002,0.548387097,0.935483871,1.4193548390000001,4.225806452,6.141304347999999,6.516666667000001,6.130434782999999,61.95053131,34.31618997,4.339997879324,3.316853754,9.847002173,10.585786,29.32258065,14.66129032
99,5,b109_FathersandSons.txt,0,1,1.3287435459999999,19.86206897,0.166666667,4.381944444,0.078125,0.764199656,0.10344827599999999,1.3448275859999999,2.172413793,2.965517241,0.7241379309999999,0.448275862,0.8275862070000001,0.5862068970000001,3.379310345,6.126984127,5.256410256000001,5.761904762,74.26329604,30.56999282,3.616825292842,3.2795084969999997,8.011494253,8.475555556,22.96551724,11.48275862
100,5,b110_TheGiftoftheMagi.txt,0,1,1.262910798,14.1,0.130023641,4.174940898,0.063829787,0.816901408,0.066666667,1.3666666669999998,1.8666666669999998,1.6,0.933333333,0.2,0.833333333,0.666666667,2.0,5.160714286,6.195121951,4.8571428569999995,85.68124648,26.71397163,2.75243329139,3.2526455760000004,5.692009456,6.649361702,15.9,6.95
101,5,b111_TheMetamorphosis.txt,0,1,1.307936508,19.3125,0.158576052,4.343042071,0.048543689,0.746031746,0.25,1.625,3.0,2.4375,1.6875,0.3125,0.5625,0.8125,3.25,5.833333333,6.153846154,5.555555556,76.58138393,30.11197816,3.4618158610800003,3.220326325,7.788430421,8.204401294,21.1875,10.59375
102,5,b112_TheGrapesofWrath.txt,0,1,1.185064935,9.014925372999999,0.145695364,4.061258278,0.031456954,0.86038961,0.104477612,0.626865672,1.6268656719999999,0.9552238809999999,0.432835821,0.059701493,0.29850746300000003,0.328358209,1.23880597,4.825688073,5.333333333,5.413793103,97.42835724,23.63598918,2.7476700960607996,3.177361083,3.664248295,4.796754967,9.582089552000001,3.791044776
103,5,b113_Fahrenheit.txt,0,1,1.26520204,11.44594595,0.100354191,4.276662731,0.044077135,0.791683013,0.081081081,0.7387387390000001,1.824324324,1.157657658,1.018018018,0.256756757,0.45045045,0.603603604,1.635135135,5.565432099,5.853658537,4.8318584069999995,88.18127228,25.86605444,2.1523115950100005,3.2099455519999998,4.618520055,6.760708383,12.45495495,5.227477477
104,5,b114_IStandHereIroning.txt,0,1,1.266746055,12.74329502,0.11575466,4.123571858,0.046001203,0.7862459070000001,0.24521072800000002,0.831417625,2.030651341,1.122605364,1.011494253,0.229885057,0.655172414,0.8888888890000001,1.3639846740000001,5.281132075,5.557603687,4.65530303,86.73383927,25.79367096,2.459833514392,3.21447891,5.1436198719999995,6.123812387,13.91570881,5.957854406
105,5,b115_ThingsFallApart.txt,0,1,1.253373313,18.47222222,0.11879699199999999,4.29924812,0.048120301,0.8005996999999999,0.27777777800000003,1.388888889,2.444444444,1.7222222219999999,1.25,0.41666666700000005,1.277777778,1.083333333,2.75,5.375,5.38,4.844444444,82.05031214,29.48556976,2.7920267257919997,3.2193633989999997,7.436407686,7.877172932000001,20.25,10.125
106,5,b116_ToKillAMockingbird.txt,0,1,1.270767943,14.70716511,0.17390383399999998,4.3158229189999995,0.049777589000000004,0.788240218,0.127725857,0.8006230529999999,2.355140187,1.591900312,0.8566978190000001,0.32087227399999996,0.53271028,0.738317757,1.847352025,5.228835978999999,5.793774319,4.850909091,84.40025943,27.6811085,3.475416928316,3.2231089180000003,5.952427577000001,7.564414319,16.17133956,7.085669782
107,5,b117_TheKillerAngels.txt,0,1,1.310218978,7.828571429,0.204379562,4.2627737230000005,0.087591241,0.788321168,0.257142857,0.571428571,1.371428571,0.6571428570000001,0.6,0.228571429,0.085714286,0.457142857,0.8857142859999999,5.354166667,6.45,4.571428571,88.04447445,23.99194995,3.6154504268584,3.295958174,3.2131803960000003,5.484087591000001,9.2,3.6
